,Most Active Stocks,Stock_Prices
0,SDOW,
1,DXD,
2,DOG,
3,DIA,
4,DDM,
5,IHSRF,
6,ISVUF,
7,VGFPF,
8,SMDD,
9,SDD,
10,QQQX,
11,SQQQ,
12,PSQ,
13,QID,
14,QQQ,
15,YCS,
16,VBB,
17,SVXY,
18,EUO,
19,WEIX,
20,SSDRF,
21,TZA,
22,SRTY,
23,TWM,
24,RWM,
25,FXP,
26,YXI,
27,EPV,
28,UPV,
29,XPP,
30,BOAT,
31,XTN,
32,IYT,
33,SEA,
34,FTXR,
35,MSGR,
36,GNOM,
37,IDNA,
38,XDNA,
39,GERM,
40,ISRUF,
41,BIZD,
42,BDCZ,
43,IAI,
44,KBWD,
45,INVPF,
46,SPWUF,
47,PSCU,
48,RNRG,
49,JXI,
50,JHCS,
51,IWFH,
52,EWCO,
53,SSEXF,
54,SSGMF,
55,FTXN,
56,PXE,
57,PXI,
58,IEO,
59,XOP,
60,NETL,
61,RDOG,
62,INDS,
63,KBWY,
64,PPTY,
65,TYNE,
66,TCHI,
67,PNQI,
68,XNTK,
69,MOON,
70,COPX,
71,NANR,
72,IGE,
73,URNM,
74,FTAG,
75,CRUZ,
76,HOTL,
77,IBUY,
78,AWAY,
79,JRNY,
80,FTXG,
81,KXI,
82,IYK,
83,XLP,
84,PSL,
85,JJU,
86,JJN,
87,BCIM,
88,EVMT,
89,DBB,
90,HGER,
91,FTGC,
92,BCM,
93,GCC,
94,DBC,
95,AYTEF,
96,ISVIF,
97,WIP,
98,FXB,
99,ISZXF,
100,FXB,
101,FXF,
102,FXA,
103,FXC,
104,FXE,
